2019-12-05 08:00:11.483 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hwmo.app.ComsumerP2pApplicationTests], using SpringBootContextLoader
2019-12-05 08:00:11.492 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.hwmo.app.ComsumerP2pApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-12-05 08:00:11.494 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hwmo.app.ComsumerP2pApplicationTests]: ComsumerP2pApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-12-05 08:00:11.678 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hwmo.app.ComsumerP2pApplication for test class com.hwmo.app.ComsumerP2pApplicationTests
2019-12-05 08:00:11.908 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2019-12-05 08:00:11.932 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4bf48f6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@420a85c4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1c39680d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@62833051, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1c852c0f, org.springframework.test.context.event.EventPublishingTestExecutionListener@a37aefe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5d99c6b5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@266374ef, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@13b3d178, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24c4ddae, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@37fb0bed]
2019-12-05 08:00:14.536 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-05 08:00:16.496 [main] INFO  com.hwmo.app.ComsumerP2pApplicationTests - No active profile set, falling back to default profiles: default
2019-12-05 08:00:17.904 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f11c7788-b7df-3376-943c-00e069e44cf7
2019-12-05 08:00:18.294 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-05 08:00:19.263 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
