2019-12-05 07:59:20.156 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hwmo.app.VipConsumerApplicationTests], using SpringBootContextLoader
2019-12-05 07:59:20.164 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.hwmo.app.VipConsumerApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-12-05 07:59:20.165 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hwmo.app.VipConsumerApplicationTests]: VipConsumerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-12-05 07:59:20.375 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hwmo.app.VipConsumerApplication for test class com.hwmo.app.VipConsumerApplicationTests
2019-12-05 07:59:20.607 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2019-12-05 07:59:20.635 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5d99c6b5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@266374ef, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@13b3d178, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@24c4ddae, org.springframework.test.context.support.DirtiesContextTestExecutionListener@37fb0bed, org.springframework.test.context.event.EventPublishingTestExecutionListener@a82c5f1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7b7fdc8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@51c693d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6a57ae10, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@766653e6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4e07b95f]
2019-12-05 07:59:23.568 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a6222ad1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-05 07:59:25.806 [main] INFO  com.hwmo.app.VipConsumerApplicationTests - No active profile set, falling back to default profiles: default
2019-12-05 07:59:26.719 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=3adeeed5-8af6-300e-8313-405224c26a4a
2019-12-05 07:59:27.089 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a6222ad1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-05 07:59:27.816 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-12-05 07:59:27.817 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-05 07:59:27.851 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-12-05 07:59:27.860 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-05 07:59:28.465 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-05 07:59:31.115 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-12-05 07:59:33.209 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-12-05 07:59:33.274 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2019-12-05 07:59:33.523 [main] INFO  com.hwmo.app.VipConsumerApplicationTests - Started VipConsumerApplicationTests in 12.817 seconds (JVM running for 14.877)
2019-12-05 07:59:34.137 [SpringContextShutdownHook] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-12-05 07:59:34.142 [SpringContextShutdownHook] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application VIP-CONSUMER with eureka with status DOWN
2019-12-05 07:59:34.153 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
